"Refs","Value","Footprint","Qty","LCSC","MPN","DNP"
"C1,C2","100n","Capacitor_SMD:C_0402_1005Metric","2","C1525","CL05B104KO5NNNC",""
"C3","4n7 100V","Capacitor_SMD:C_0402_1005Metric","1","C576733","CC0402KRX7R0BB472",""
"D1,D2","TSD05C","Diode_SMD:D_SOD-323F","2","C20611048","TSD05CDYFR",""
"D3-D6","LED","LED_SMD:LED_0603_1608Metric","4","C2286","KT-0603R",""
"D7,D8","PESD2CANFD24V-T","Package_TO_SOT_SMD:SOT-23","2","C39832198","PESD2CANFD24V-TR",""
"J1","Conn_01x06","Connector_JST:JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal","1","C51940119","XY-SM06B-GHS-TB",""
"J2,J3","Conn_01x03","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical","2","C480579","1840379",""
"Q1,Q2","Q_NMOS_DGS","Package_TO_SOT_SMD:SOT-23","2","C20917","AO3400A",""
"R1-R3","22R","Resistor_SMD:R_0402_1005Metric","3","C25092","0402WGF220JTCE",""
"R4","10k","Resistor_SMD:R_0402_1005Metric","1","C25744","0402WGF1002TCE",""
"R5-R8","1k","Resistor_SMD:R_0402_1005Metric","4","C11702","0402WGF1001TCE",""
"R9,R10","60R4 1/4W","Resistor_SMD:R_0805_2012Metric","2","C2481607","RK73H2ATTD60R4F",""
"SW1","SW_DPDT_x2","0_Nidec_CAS:CAS-220A","1","C3664537","CAS-220A1",""
"U1","TPD4E05U06DQA","Package_SON:USON-10_2.5x1.0mm_P0.5mm","1","C138714","TPD4E05U06DQAR",""
"U2","TJA1462AT/0Z","Package_SO:SO-8_3.9x4.9mm_P1.27mm","1","C3234095","TJA1462AT/0Z",""
