Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",176.600000,-97.165000,90.000000,top
"C2","100n","C_0402_1005Metric",183.600000,-100.565000,180.000000,top
"C3","4n7 100V","C_0402_1005Metric",187.520000,-97.150000,0.000000,top
"D1","TSD05C","D_SOD-323F",172.770000,-92.900000,0.000000,top
"D2","TSD05C","D_SOD-323F",172.770000,-95.200000,0.000000,top
"D3","LED","LED_0603_1608Metric",180.812500,-106.400000,180.000000,top
"D4","LED","LED_0603_1608Metric",180.812500,-104.800000,180.000000,top
"D5","LED","LED_0603_1608Metric",180.877500,-109.600000,180.000000,top
"D6","LED","LED_0603_1608Metric",180.877500,-108.000000,180.000000,top
"D7","PESD2CANFD24V-T","SOT-23",197.462500,-105.050000,180.000000,top
"D8","PESD2CANFD24V-T","SOT-23",197.462500,-92.050000,180.000000,top
"J1","Conn_01x06","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",167.770000,-96.800000,-90.000000,top
"J2","Conn_01x03","PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",204.300000,-93.600000,90.000000,top
"J3","Conn_01x03","PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",204.300000,-106.800000,90.000000,top
"Q1","Q_NMOS_DGS","SOT-23",173.400000,-105.400000,-90.000000,top
"Q2","Q_NMOS_DGS","SOT-23",169.960000,-105.400000,-90.000000,top
"R1","22R","R_0402_1005Metric",178.000000,-93.765000,0.000000,top
"R2","22R","R_0402_1005Metric",178.000000,-100.565000,0.000000,top
"R3","22R","R_0402_1005Metric",180.800000,-93.765000,0.000000,top
"R4","10k","R_0402_1005Metric",183.400000,-93.765000,0.000000,top
"R5","1k","R_0402_1005Metric",178.025000,-106.400000,180.000000,top
"R6","1k","R_0402_1005Metric",178.025000,-104.800000,0.000000,top
"R7","1k","R_0402_1005Metric",178.090000,-109.600000,180.000000,top
"R8","1k","R_0402_1005Metric",178.090000,-108.000000,180.000000,top
"R9","60R4 1/4W","R_0805_2012Metric",187.450000,-95.000000,-90.000000,top
"R10","60R4 1/4W","R_0805_2012Metric",187.450000,-99.400000,-90.000000,top
"SW1","SW_DPDT_x2","CAS-220A",191.000000,-97.150000,180.000000,top
"U1","TPD4E05U06DQA","USON-10_2.5x1.0mm_P0.5mm",172.185000,-98.000000,0.000000,top
"U2","TJA1462AT/0Z","SO-8_3.9x4.9mm_P1.27mm",180.800000,-97.165000,0.000000,top
